Custom Table Report,,,,,,,UNOFFICIAL RESULTS
State & Federal Primary and County General,,,,,,,
"August 6, 2026",,,,,,,Hamilton
,,STATISTICS,,,,,
,,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General,
EAST LAKE,45,0,73,1,,,,72,1
EAST RIDGE A,441,11,427,7,,,,419,5
EAST RIDGE B,458,10,452,8,,,,435,10
,"REP Tennessee House of Representatives, District 30 District 30",,"REP State Executive Committeeman, District 10 District 10",,"REP State Executive Committeeman, District 11 District 11",,,"REP State Executive Committeewoman, District 10 District 10",
,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,,,VOTE FOR 1,
,25 of 25 Precincts Reporting,,35 of 35 Precincts Reporting,,57 of 57 Precincts Reporting,,,35 of 35 Precincts Reporting,
,Esther Helton Haynes,Write-in Totals,Kenneth J (Ken) Meyer,Write-in Totals,Derek Greene,David G. Queen,Write-in Totals,Emily Goldberg,Write-in Totals
EAST RIDGE C,167,3,166,2,,,,155,3
EAST RIDGE D,372,8,364,6,,,,361,5
EASTGATE,,,69,4,,,,67,1
EASTSIDE,11,0,113,6,,,,112,4
FAIRMOUNT,,,,,400,230,5,,
FALLING WATER A,,,,,64,38,1,,
FALLING WATER B,,,,,162,104,1,,
FLAT TOP MOUNTAIN,,,,,98,71,0,,
GANNS,,,,,384,461,8,,
GLENWOOD,50,1,,,38,35,4,,
HARRISON,,,,,275,233,2,,
HARRISON BAY,,,,,458,302,6,,
HIXSON,,,,,157,169,0,,
HUNTER,,,,,370,283,6,,
HURRICANE CREEK,816,13,786,12,,,,776,10
KINGSPOINT,,,,,47,41,2,,
LAKE HILLS,,,,,33,27,0,,
LAKESITE,,,,,136,130,3,,
LOOKOUT MOUNTAIN,,,409,1,,,,398,2
LOOKOUT VALLEY,,,"1,032",11,,,,"1,015",15
LUPTON CITY,,,,,165,124,5,,
MEADOWVIEW,,,,,369,186,2,,
MIDDLE VALLEY,,,,,199,157,1,,
MISSIONARY RIDGE,204,7,202,4,,,,194,6
MOUNTAIN CREEK A,,,,,293,264,6,,
MOUNTAIN CREEK B,,,,,91,67,2,,
